Index	Link	Playlist ID	Optional/Essential (O/E)
	Playlist 12: Telling time	g3_p12	E
	Subtitle: Week 21		
Video 1	/v/telling-time-exercise-example-1/	g3_p12	E
Video 2	/v/telling-time-exercise-example-2/	g3_p12	E
Exercise 1	/e/telling_time_0.5/	g3_p12	E
Exercise 2	/e/telling_time/	g3_p12	E
Exercise 3	/e/telling_time_2/	g3_p12	E
	Quiz 7	g3_p12	E
			
	Playlist 13: Represent fractions using numerator/denominator format	g3_p13	
	Subtitle: Week 22		E
Video 1	/v/introduction-to-fractions/	g3_p13	E
Video 2	/v/identifying-fraction-parts/	g3_p13	E
Video 3	/v/recognizing-fractions-exercise/	g3_p13	E
Video 4	/v/numerator-and-denominator-of-a-fraction/	g3_p13	E
Exercise 1	/e/recognizing_fractions_0.5/	g3_p13	E
Exercise 2	/e/recognizing_fractions/	g3_p13	E
	Quiz 8	g3_p13	E
	Unit Test-6	g3_p11, g3_p12, g3_p13	E
