Index	Link	Playlist ID	Essential/Optional (E/O)
Video 6	/v/multi-step-word-problems-with-whole-numbers-exercise-1/	g5_p6	E
Video 7	/v/multi-step-word-problems-with-whole-numbers-exercise-t2/	g5_p6	E
Video 8	/v/multi-step-word-problems-with-whole-numbers-exercise-3/	g5_p6	E
Video 9	/v/understanding-multiplication-through-area-models/	g5_p6	E
Video 10	/v/area-model-for-multiplication/	g5_p6	E
Video 11	/v/multistep-word-problems-example-1/	g5_p6	E
Video 12	/v/multistep-word-problems-example-2/	g5_p6	E
Video 13	/v/multistep-word-problems-example-3/	g5_p6	E

Playlist 7: Point,Lines and Planes; Number patterns		g5_p7

	Subtitle:week 9	g5_p7
Video 1	/v/measuring-segments/	g5_p7	E
Video 2	/v/congruent-segments/	g5_p7	E
Exercise 1	/congruent_segments/	g5_p7	E
Exercise 2	/e/measuring_segments/	g5_p7	E
Video 3	/v/figuring-out-days-of-the-week/	g5_p7	E
Video 4	/v/math-patterns-example-1/	g5_p7	E
Video 5	/v/math-patterns-example-2/	g5_p7	E
Video 6	/v/relationships-between-patterns/	g5_p7	E
Video 7	/v/interpreting-relationships-between-patterns/	g5_p7	E
Video 8	/v/interpreting-and-graphing-relationships-between-patterns/	g5_p7	E

Playlist 8:Factors and multiples		g5_p8


	Subtitle: week 10	g5_p8
Video 1	/v/divisibility-tests-for-2--3--4--5--6--9--10/	g5_p8	E
Video 2	/v/recognizing-divisibility/	g5_p8	E
Video 3	/v/the-why-of-the-3-divisibility-rule/	g5_p8	E
Video 4	/v/the-why-of-the-9-divisibility-rule/	g5_p8	E
Video 5	/v/finding-factors-of-a-number/	g5_p8	E
Exercise 1	Exercise:/e/divisibility_tests/	g5_p8	E
Exercise 2 	Exercise:/e/divisibility_0.5/	g5_p8	E
Video 6	/v/prime-numbers/	g5_p8	E
Video 7	/v/recognizing-prime-numbers/	g5_p8	E
Exercise 3	/e/prime_numbers/	g5_p8	E
Exercise 4	/e/composite_numbers/	g5_p8	E
	Quiz 4	g5_p6,g5_p7, g5_p8

Playlist 9 Reasing and Interpreting Data		g5_p9


	Subtitle: week 11	g5_p9
Video 1	/v/reading-tables-1/	g5_p9	E
Video 2	/v/reading-tables-2/	g5_p9	E
Exercise 1	/e/reading_tables_1/	g5_p9	E
Exercise 2	/e/reading_tables_2/	g5_p9	E
Video 3	/v/u08-l1-t2-we3-stem-and-leaf-plots/	g5_p9	E
Video 4	/v/reading-stem-and-leaf-plots/	g5_p9	E
Video 5	/v/reading-pictographs/	g5_p9	E
Video 6	/v/reading-bar-graphs/	g5_p9	E
Video 7	/v/histograms/	g5_p9	E
Exercise 3	/e/reading_stem_and_leaf_plots/	g5_p9	E
Exercise 4	/e/reading_pictographs_1/	g5_p9	E
Exercise 5	/e/reading_pictographs_2/	g5_p9	E
Video 8	/v/reading-bar-charts-1/	g5_p9	E
Video 9	/v/creating-bar-charts-1/	g5_p9	E
Video 10	/v/reading-bar-charts-2/	g5_p9	E
Video 11	/v/reading-bar-charts-3/	g5_p9	E
	Quiz 5	g5_p9
	Unit test 2	g5_p5,g5_p6,g5_p7, g5_p8,g5_p9
Playlist 10- Perimeter,Area and volume; Ratio and Proportions		g5_p10


	Subtitle: Week 12	g5_p10
Video 1	/v/perimeter-and-area-basics/	g5_p10	E
Video 2	/v/triangle-area-proofs/	g5_p10	O
Video 3	/v/interesting-perimeter-and-area-problems/	g5_p10	E
Video 4	/v/area-of-diagonal-generated-triangles-of-rectangle-are-equal/	g5_p10	E
Video 5	/v/area-of-an-equilateral-triangle/	g5_p10	E
Video 6	/v/area-of-shaded-region-made-from-equilateral-triangles/	g5_p10	E
Video 7	/v/challenging-perimeter-problem/	g5_p10	O
Exercise 1	/e/area_of_triangles_1/	g5_p10	E
Exercise 2	/e/shaded_areas/	g5_p10	E
Video 8	/v/quadrilateral-overview/	g5_p10	O
