Index	Link	Playlist_ID	Essential/Optional (E/O)
Video 2	/v/reading-tables-2/	g6_p8	E
Exercise 1	 /e/reading_tables_1/	g6_p8	E
Exercise 2	/e/reading_tables_2/	g6_p8	E
Video 3	/v/u08-l1-t2-we3-stem-and-leaf-plots/	g6_p8	E
Video 4	/v/reading-stem-and-leaf-plots/	g6_p8	E
Exercise 3	/e/reading_stem_and_leaf_plots/	g6_p8	E
Video 5	/v/reading-pictographs/	g6_p8	E
Exercise 4	/e/reading_pictographs_1/	g6_p8	E
Exercise 5	/e/reading_pictographs_2/	g6_p8	E
	Subtitle: Week 11	g6_p8	
Video 6	v/reading-bar-graphs/	g6_p8	E
Video 7	/v/histograms/	g6_p8	E
Video 8	/v/reading-bar-charts-1/	g6_p8	E
Video 9	/v/creating-bar-charts-1/	g6_p8	E
Video 10	/v/reading-bar-charts-2/	g6_p8	E
Video 11	/v/reading-bar-charts-3/	g6_p8	E
Exercise 6	/e/reading_bar_charts_1/	g6_p8	E
Exercise 7	/e/creating_bar_charts_1/	g6_p8	E
Exercise 8	/e/reading_bar_charts_2/	g6_p8	E
Exercise 9	/e/reading_bar_charts_3/ 	g6_p8	E
Video 12	/v/u08-l1-t2-we2-reading-line-graphs/	g6_p8	E
Video 13	/v/reading-pie-graphs--circle-graphs/	g6_p8	E
	Quiz 6	g6_p8	E
			
	Playlist 9: Perimeter and area of triangles	g6_p9	E
	Subtitle: Week 12	g6_p9	
Video 1	/v/perimeter-and-area-basics/	g6_p9	E
Video 2	/v/triangle-area-proofs/	g6_p9	E
Video 3	/v/interesting-perimeter-and-area-problems/	g6_p9	E
Video 4	/v/area-of-diagonal-generated-triangles-of-rectangle-are-equal/	g6_p9	E
Video 5	/v/area-of-an-equilateral-triangle/	g6_p9	E
Video 6	/v/area-of-shaded-region-made-from-equilateral-triangles/	g6_p9	E
Exercise 1	/e/area_of_triangles_1/	g6_p9	E
Exercise 2	/e/shaded_areas/	g6_p9	E
			
	Playlist 10: Perimeter and area of quadrilaterals	g6_p10	E
	Subtitle: Week 13	g6_p10	
Video 1	/v/quadrilateral-overview/	g6_p10	E
Video 2	/v/quadrilateral-properties/	g6_p10	E
Video 3	/v/area-of-a-parallelogram/	g6_p10	E
Video 4	/v/area-of-a-trapezoid-1/	g6_p10	E
Video 5	/v/area-of-a-kite/	g6_p10	E
Video 6	/v/perimeter-of-a-polygon/	g6_p10	E
Video 7	/v/perimeter-and-area-of-a-non-standard-polygon/	g6_p10	E
Exercise 1	/e/area_of_parallelograms/	g6_p10	E
Exercise 2	/e/areas_of_trapezoids_rhombi_and_kites/	g6_p10	E
	Quiz 7	g6_p9, g6_p10	E
	Unit Test-2	g6_p5, g6_p6, g6_p7, g6_p8, g6_p9, g6_p10	E
			
	Playlist 11: Ratio and proportion	g6_p11	E
	Subtitle: Week 14	g6_p11	
Video 1	/v/introduction-to-ratios--new-hd-version/	g6_p11	E
Video 2	/v/ratios-as-fractions-in-simplest-form/	g6_p11	E
Video 3	/v/simplifying-rates-and-ratios/	g6_p11	E
Video 4	/v/describing-ratios-exercise/	g6_p11	E
Exercise 1	/e/expressing_ratios_as_fractions/	g6_p11	E
Video 5	 /v/ratio-word-problem-exercise-example-1/	g6_p11	E
Video 6	/v/ratio-word-problem-exercise-example-2/	g6_p11	E
	Subtitle: Week 15	g6_p11	E
Video 7	/v/understanding-proportions/	g6_p11	E
Video 8	/v/solving-ratio-problems-with-tables-exercise/	g6_p11	E
Video 9	/v/solving-ratio-problems-with-tables-exercise-2/	g6_p11	E
Video 10	/v/solving-ratio-problems-with-tables-exercise-3/	g6_p11	E
Exercise 2	/e/ratio_word_problems/	g6_p11	E
Video 11	/v/rational-number-word-problem-example-1/	g6_p11	E
Video 12	/v/rational-number-word-problem-example-2/	g6_p11	E
			
	Playlist 12: Find the missing quantity, when 2 out of 3 quantities are given (principal, rate of interest, period)	g6_p12	O
	Subtitle: Week 16	g6_p12	
Video 1	/v/solving-percent-problems/	g6_p12	O
Video 2	/v/solving-percent-problems-2/	g6_p12	O
Video 3	/v/solving-percent-problems-3/	g6_p12	O
Video 4	/v/growing-by-a-percentage/	g6_p12	O
Exercise 1	/e/discount_tax_and_tip_word_problems/	g6_p12	O
Exercise 2	/e/markup_and_commission_word_problems/	g6_p12	O
	Quiz 8	g6_p11, g6_p12	E
			
			
	Playlist 13: Oveview and history of algebra	g6_p13	E
	Subtitle: Week 17	g6_p13	
Video 1	/v/origins-of-algebra/	g6_p13	E
Video 2	/v/abstract-ness/	g6_p13	E
Video 3	/v/the-beauty-of-algebra/	g6_p13	E
